# GROUND-TRUTH ASSET MANIFEST for server_rack_1..8
# Read with: pandas.read_csv(path, comment='#')
# Generated by scripts/generate_barcode_labels.py. If you edit a rack, re-run it.
#
# barcode      : the Code 128 payload printed on the label, and the ONLY thing
#                the LS2208 reports. 7 hex digits at 7.5 mil,
#                132 modules = 25.15 mm wide inside a 28 mm print area.
#                Budgeted as 7 Subset B codewords; the encoder actually emits a
#                mixed C-then-B sequence that comes to the same module count.
# label_name   : the world model name, always barcode_label_<barcode>. The
#                scanner derives the payload from this suffix, so the model
#                name no longer leaks equipment type to the estimator the way
#                rfid_tag_r1_ups did.
# tag_name     : the old RFID model name. Retained ONLY to join against
#                historical bags and the RFID worlds, which are unchanged.
# epc          : the old CommsEndpoint address. Dead for the barcode path.
# z_local_m    : label z in the RACK frame. World z = rack pose z + this.
# x_local_m    : label x in the RACK frame, the label COLUMN.
#                Label y is always -0.5042 (substrate is 6.35 mm thick, so it
#                spans y = -0.507375..-0.501025, entirely in front of
#                the -0.50 faceplate plane).
#
# Substrate 38.1 x 12.7 x 6.35 mm. Bar height 3 mm, which is what forces the
# scanner's roll limit down to atan((3.0 + 0.2) / 25.15) = 7.3 deg,
# far tighter than the LS2208's published +/-30 deg. The denominator is the
# SYMBOL width incl. quiet zones, not the 28 mm print area, and the numerator
# includes the beam spot; quoting a bare atan(3/28) = 6.1 deg understates it.
#
# NB the codes are unique per ASSET, not per physical label. server_room.sdf
# includes racks 1-4 on rows 0 and 2 and racks 5-8 on rows 1 and 3, so all
# 138 codes appear TWICE in that world, 276 labels in total. A decoded
# string does not identify a location on its own. This is inherited from the
# RFID setup, whose EPCs duplicated the same way.
rack_model,label_name,barcode,tag_name,epc,equipment,u_start,u_end,u_size,depth_m,z_local_m,x_local_m
server_rack_2,barcode_label_031FB22,031FB22,rfid_tag_r2_server_8,E200-200D,server,25,26,2,0.70,1.1613,0.18
server_rack_2,barcode_label_031FB23,031FB23,rfid_tag_r2_server_9,E200-200E,server,27,28,2,0.70,1.2502,0.18
server_rack_2,barcode_label_031FB24,031FB24,rfid_tag_r2_server_10,E200-200F,server,29,30,2,0.70,1.3391,0.18
server_rack_2,barcode_label_031FB25,031FB25,rfid_tag_r2_server_11,E200-2010,server,31,32,2,0.70,1.4280,0.18
server_rack_2,barcode_label_031FB26,031FB26,rfid_tag_r2_server_12,E200-2011,server,33,34,2,0.70,1.5169,0.18
server_rack_2,barcode_label_031FB27,031FB27,rfid_tag_r2_cable_manager_2,E200-2012,cable_manager,35,35,1,0.15,1.5835,0.18
server_rack_2,barcode_label_031FB28,031FB28,rfid_tag_r2_server_13,E200-2013,server,36,37,2,0.70,1.6502,0.18
server_rack_2,barcode_label_031FB29,031FB29,rfid_tag_r2_server_14,E200-2014,server,38,39,2,0.70,1.7391,0.18
server_rack_2,barcode_label_031FB2A,031FB2A,rfid_tag_r2_pdu_2,E200-2015,pdu,40,40,1,0.42,1.8058,0.18
server_rack_2,barcode_label_031FB2B,031FB2B,rfid_tag_r2_firewall,E200-2016,firewall,41,41,1,0.42,1.8502,0.18
server_rack_2,barcode_label_031FB2C,031FB2C,rfid_tag_r2_console_server,E200-2017,console_server,42,42,1,0.30,1.8947,0.18
server_rack_3,barcode_label_031FB2D,031FB2D,rfid_tag_r3_ups,E200-3001,ups,1,4,4,0.70,0.1389,0.18
server_rack_3,barcode_label_031FB2E,031FB2E,rfid_tag_r3_pdu,E200-3002,pdu,5,5,1,0.42,0.2500,0.18
server_rack_3,barcode_label_031FB2F,031FB2F,rfid_tag_r3_san_switch_1,E200-3003,san_switch,6,7,2,0.42,0.3167,0.18
server_rack_3,barcode_label_031FB30,031FB30,rfid_tag_r3_san_switch_2,E200-3004,san_switch,8,9,2,0.42,0.4056,0.18
server_rack_3,barcode_label_031FB31,031FB31,rfid_tag_r3_cable_manager_1,E200-3005,cable_manager,10,10,1,0.15,0.4723,0.18
server_rack_3,barcode_label_031FB32,031FB32,rfid_tag_r3_disk_shelf_1,E200-3006,disk_shelf,11,14,4,0.75,0.5834,0.18
server_rack_3,barcode_label_031FB33,031FB33,rfid_tag_r3_disk_shelf_2,E200-3007,disk_shelf,15,18,4,0.75,0.7612,0.18
server_rack_3,barcode_label_031FB34,031FB34,rfid_tag_r3_disk_shelf_3,E200-3008,disk_shelf,19,22,4,0.75,0.9390,0.18
server_rack_3,barcode_label_031FB35,031FB35,rfid_tag_r3_disk_shelf_4,E200-3009,disk_shelf,25,28,4,0.75,1.2057,0.18
server_rack_3,barcode_label_031FB36,031FB36,rfid_tag_r3_storage_controller_1,E200-300A,storage_controller,29,30,2,0.70,1.3391,0.18
server_rack_3,barcode_label_031FB37,031FB37,rfid_tag_r3_storage_controller_2,E200-300B,storage_controller,31,32,2,0.70,1.4280,0.18
server_rack_3,barcode_label_031FB38,031FB38,rfid_tag_r3_tape_library,E200-300C,tape_library,33,38,6,0.80,1.6058,0.18
server_rack_3,barcode_label_031FB39,031FB39,rfid_tag_r3_cable_manager_2,E200-300D,cable_manager,39,39,1,0.15,1.7613,0.18
server_rack_4,barcode_label_031FB3A,031FB3A,rfid_tag_r4_ups,E200-4001,ups,1,4,4,0.70,0.1389,0.18
server_rack_4,barcode_label_031FB3B,031FB3B,rfid_tag_r4_pdu,E200-4002,pdu,5,5,1,0.42,0.2500,0.18
server_rack_4,barcode_label_031FB3C,031FB3C,rfid_tag_r4_switch_1,E200-4003,switch,7,8,2,0.42,0.3612,0.18
server_rack_4,barcode_label_031FB3D,031FB3D,rfid_tag_r4_firewall,E200-4004,firewall,9,9,1,0.42,0.4278,0.18
server_rack_4,barcode_label_031FB3E,031FB3E,rfid_tag_r4_patch_panel_1,E200-4005,patch_panel,11,12,2,0.15,0.5390,0.18
server_rack_4,barcode_label_031FB3F,031FB3F,rfid_tag_r4_cable_manager_1,E200-4006,cable_manager,13,13,1,0.15,0.6056,0.18
server_rack_4,barcode_label_031FB40,031FB40,rfid_tag_r4_blade_chassis,E200-4007,blade_chassis,18,27,10,0.78,1.0279,0.18
server_rack_4,barcode_label_031FB41,031FB41,rfid_tag_r4_server_1,E200-4008,server,29,30,2,0.70,1.3391,0.18
server_rack_4,barcode_label_031FB42,031FB42,rfid_tag_r4_server_2,E200-4009,server,31,32,2,0.70,1.4280,0.18
server_rack_4,barcode_label_031FB43,031FB43,rfid_tag_r4_console_server,E200-400A,console_server,39,39,1,0.30,1.7613,0.18
server_rack_4,barcode_label_031FB44,031FB44,rfid_tag_r4_kvm,E200-400B,kvm,42,42,1,0.42,1.8947,0.18
server_rack_5,barcode_label_031FB45,031FB45,rfid_tag_r5_ups,E200-5001,ups,1,4,4,0.70,0.1389,-0.18
server_rack_5,barcode_label_031FB46,031FB46,rfid_tag_r5_pdu,E200-5002,pdu,5,5,1,0.42,0.2500,-0.18
server_rack_5,barcode_label_031FB47,031FB47,rfid_tag_r5_switch_1,E200-5003,switch,6,7,2,0.42,0.3167,-0.18
server_rack_5,barcode_label_031FB48,031FB48,rfid_tag_r5_patch_panel_1,E200-5004,patch_panel,8,9,2,0.15,0.4056,-0.18
server_rack_5,barcode_label_031FB49,031FB49,rfid_tag_r5_cable_manager_1,E200-5005,cable_manager,10,10,1,0.15,0.4723,-0.18
server_rack_5,barcode_label_031FB4A,031FB4A,rfid_tag_r5_switch_2,E200-5006,switch,11,12,2,0.42,0.5390,-0.18
server_rack_5,barcode_label_031FB4B,031FB4B,rfid_tag_r5_patch_panel_2,E200-5007,patch_panel,13,14,2,0.15,0.6279,-0.18
server_rack_5,barcode_label_031FB4C,031FB4C,rfid_tag_r5_cable_manager_2,E200-5008,cable_manager,15,15,1,0.15,0.6945,-0.18
server_rack_5,barcode_label_031FB4D,031FB4D,rfid_tag_r5_switch_3,E200-5009,switch,16,17,2,0.42,0.7612,-0.18
server_rack_5,barcode_label_031FB4E,031FB4E,rfid_tag_r5_patch_panel_3,E200-500A,patch_panel,18,19,2,0.15,0.8501,-0.18
server_rack_5,barcode_label_031FB4F,031FB4F,rfid_tag_r5_cable_manager_3,E200-500B,cable_manager,20,20,1,0.15,0.9168,-0.18
server_rack_5,barcode_label_031FB50,031FB50,rfid_tag_r5_switch_4,E200-500C,switch,21,22,2,0.42,0.9835,-0.18
server_rack_5,barcode_label_031FB51,031FB51,rfid_tag_r5_patch_panel_4,E200-500D,patch_panel,23,24,2,0.15,1.0724,-0.18
server_rack_5,barcode_label_031FB52,031FB52,rfid_tag_r5_cable_manager_4,E200-500E,cable_manager,25,25,1,0.15,1.1390,-0.18
server_rack_5,barcode_label_031FB53,031FB53,rfid_tag_r5_fiber_patch_panel,E200-500F,fiber_patch_panel,26,29,4,0.30,1.2502,-0.18
server_rack_5,barcode_label_031FB54,031FB54,rfid_tag_r5_server_1,E200-5010,server,30,31,2,0.70,1.3835,-0.18
server_rack_5,barcode_label_031FB55,031FB55,rfid_tag_r5_server_2,E200-5011,server,32,33,2,0.70,1.4724,-0.18
server_rack_5,barcode_label_031FB56,031FB56,rfid_tag_r5_server_3,E200-5012,server,34,35,2,0.70,1.5613,-0.18
server_rack_5,barcode_label_031FB57,031FB57,rfid_tag_r5_server_4,E200-5013,server,36,37,2,0.70,1.6502,-0.18
server_rack_5,barcode_label_031FB58,031FB58,rfid_tag_r5_server_5,E200-5014,server,38,39,2,0.70,1.7391,-0.18
server_rack_5,barcode_label_031FB59,031FB59,rfid_tag_r5_server_6,E200-5015,server,40,41,2,0.70,1.8280,-0.18
server_rack_5,barcode_label_031FB5A,031FB5A,rfid_tag_r5_kvm,E200-5016,kvm,42,42,1,0.42,1.8947,-0.18
server_rack_6,barcode_label_031FB5B,031FB5B,rfid_tag_r6_ups,E200-6001,ups,1,4,4,0.70,0.1389,-0.18
server_rack_6,barcode_label_031FB5C,031FB5C,rfid_tag_r6_pdu_1,E200-6002,pdu,5,5,1,0.42,0.2500,-0.18
server_rack_6,barcode_label_031FB5D,031FB5D,rfid_tag_r6_switch_1,E200-6003,switch,6,7,2,0.42,0.3167,-0.18
server_rack_6,barcode_label_031FB5E,031FB5E,rfid_tag_r6_switch_2,E200-6004,switch,8,9,2,0.42,0.4056,-0.18
server_rack_6,barcode_label_031FB5F,031FB5F,rfid_tag_r6_cable_manager_1,E200-6005,cable_manager,10,10,1,0.15,0.4723,-0.18
server_rack_6,barcode_label_031FB60,031FB60,rfid_tag_r6_server_1,E200-6006,server,11,12,2,0.70,0.5390,-0.18
server_rack_6,barcode_label_031FB61,031FB61,rfid_tag_r6_server_2,E200-6007,server,13,14,2,0.70,0.6279,-0.18
server_rack_6,barcode_label_031FB62,031FB62,rfid_tag_r6_server_3,E200-6008,server,15,16,2,0.70,0.7168,-0.18
server_rack_6,barcode_label_031FB63,031FB63,rfid_tag_r6_server_4,E200-6009,server,17,18,2,0.70,0.8057,-0.18
server_rack_6,barcode_label_031FB64,031FB64,rfid_tag_r6_server_5,E200-600A,server,19,20,2,0.70,0.8946,-0.18
server_rack_6,barcode_label_031FB65,031FB65,rfid_tag_r6_server_6,E200-600B,server,21,22,2,0.70,0.9835,-0.18
server_rack_6,barcode_label_031FB66,031FB66,rfid_tag_r6_server_7,E200-600C,server,23,24,2,0.70,1.0724,-0.18
server_rack_6,barcode_label_031FB67,031FB67,rfid_tag_r6_server_8,E200-600D,server,25,26,2,0.70,1.1613,-0.18
server_rack_6,barcode_label_031FB68,031FB68,rfid_tag_r6_server_9,E200-600E,server,27,28,2,0.70,1.2502,-0.18
server_rack_6,barcode_label_031FB69,031FB69,rfid_tag_r6_server_10,E200-600F,server,29,30,2,0.70,1.3391,-0.18
server_rack_6,barcode_label_031FB6A,031FB6A,rfid_tag_r6_server_11,E200-6010,server,31,32,2,0.70,1.4280,-0.18
server_rack_6,barcode_label_031FB6B,031FB6B,rfid_tag_r6_server_12,E200-6011,server,33,34,2,0.70,1.5169,-0.18
server_rack_6,barcode_label_031FB6C,031FB6C,rfid_tag_r6_cable_manager_2,E200-6012,cable_manager,35,35,1,0.15,1.5835,-0.18
server_rack_6,barcode_label_031FB6D,031FB6D,rfid_tag_r6_server_13,E200-6013,server,36,37,2,0.70,1.6502,-0.18
server_rack_6,barcode_label_031FB6E,031FB6E,rfid_tag_r6_server_14,E200-6014,server,38,39,2,0.70,1.7391,-0.18
server_rack_6,barcode_label_031FB6F,031FB6F,rfid_tag_r6_pdu_2,E200-6015,pdu,40,40,1,0.42,1.8058,-0.18
server_rack_6,barcode_label_031FB70,031FB70,rfid_tag_r6_firewall,E200-6016,firewall,41,41,1,0.42,1.8502,-0.18
server_rack_6,barcode_label_031FB71,031FB71,rfid_tag_r6_console_server,E200-6017,console_server,42,42,1,0.30,1.8947,-0.18
server_rack_7,barcode_label_031FB72,031FB72,rfid_tag_r7_ups,E200-7001,ups,1,4,4,0.70,0.1389,-0.18
server_rack_7,barcode_label_031FB73,031FB73,rfid_tag_r7_pdu,E200-7002,pdu,5,5,1,0.42,0.2500,-0.18
server_rack_7,barcode_label_031FB74,031FB74,rfid_tag_r7_san_switch_1,E200-7003,san_switch,6,7,2,0.42,0.3167,-0.18
server_rack_7,barcode_label_031FB75,031FB75,rfid_tag_r7_san_switch_2,E200-7004,san_switch,8,9,2,0.42,0.4056,-0.18
server_rack_7,barcode_label_031FB76,031FB76,rfid_tag_r7_cable_manager_1,E200-7005,cable_manager,10,10,1,0.15,0.4723,-0.18
server_rack_7,barcode_label_031FB77,031FB77,rfid_tag_r7_disk_shelf_1,E200-7006,disk_shelf,11,14,4,0.75,0.5834,-0.18
server_rack_7,barcode_label_031FB78,031FB78,rfid_tag_r7_disk_shelf_2,E200-7007,disk_shelf,15,18,4,0.75,0.7612,-0.18
server_rack_7,barcode_label_031FB79,031FB79,rfid_tag_r7_disk_shelf_3,E200-7008,disk_shelf,19,22,4,0.75,0.9390,-0.18
server_rack_7,barcode_label_031FB7A,031FB7A,rfid_tag_r7_disk_shelf_4,E200-7009,disk_shelf,25,28,4,0.75,1.2057,-0.18
server_rack_7,barcode_label_031FB7B,031FB7B,rfid_tag_r7_storage_controller_1,E200-700A,storage_controller,29,30,2,0.70,1.3391,-0.18
server_rack_7,barcode_label_031FB7C,031FB7C,rfid_tag_r7_storage_controller_2,E200-700B,storage_controller,31,32,2,0.70,1.4280,-0.18
server_rack_7,barcode_label_031FB7D,031FB7D,rfid_tag_r7_tape_library,E200-700C,tape_library,33,38,6,0.80,1.6058,-0.18
server_rack_7,barcode_label_031FB7E,031FB7E,rfid_tag_r7_cable_manager_2,E200-700D,cable_manager,39,39,1,0.15,1.7613,-0.18
server_rack_8,barcode_label_031FB7F,031FB7F,rfid_tag_r8_ups,E200-8001,ups,1,4,4,0.70,0.1389,-0.18
server_rack_8,barcode_label_031FB80,031FB80,rfid_tag_r8_pdu,E200-8002,pdu,5,5,1,0.42,0.2500,-0.18
server_rack_8,barcode_label_031FB81,031FB81,rfid_tag_r8_switch_1,E200-8003,switch,7,8,2,0.42,0.3612,-0.18
server_rack_8,barcode_label_031FB82,031FB82,rfid_tag_r8_firewall,E200-8004,firewall,9,9,1,0.42,0.4278,-0.18
server_rack_8,barcode_label_031FB83,031FB83,rfid_tag_r8_patch_panel_1,E200-8005,patch_panel,11,12,2,0.15,0.5390,-0.18
server_rack_8,barcode_label_031FB84,031FB84,rfid_tag_r8_cable_manager_1,E200-8006,cable_manager,13,13,1,0.15,0.6056,-0.18
server_rack_8,barcode_label_031FB85,031FB85,rfid_tag_r8_blade_chassis,E200-8007,blade_chassis,18,27,10,0.78,1.0279,-0.18
server_rack_8,barcode_label_031FB86,031FB86,rfid_tag_r8_server_1,E200-8008,server,29,30,2,0.70,1.3391,-0.18
server_rack_8,barcode_label_031FB87,031FB87,rfid_tag_r8_server_2,E200-8009,server,31,32,2,0.70,1.4280,-0.18
server_rack_8,barcode_label_031FB88,031FB88,rfid_tag_r8_console_server,E200-800A,console_server,39,39,1,0.30,1.7613,-0.18
server_rack_8,barcode_label_031FB89,031FB89,rfid_tag_r8_kvm,E200-800B,kvm,42,42,1,0.42,1.8947,-0.18
